sku,collection,category,price_in_2017,price_in_2018,change,product.x,percent_change,product.y
C00A01,Other,Accessories,100,100,0,pearl-accessories-paspaley-mother-of-pearl-shell,0,pearl-accessories-paspaley-mother-of-pearl-shell
C00A01WKB12,Other,Accessories,2780,3280,17.99,pearl-accessories-pearl-cufflinks-white-gold,17.99,pearl-accessories-pearl-cufflinks-white-gold
C00C80Y2742,Other,Accessories,2460,2460,0,pearl-accessories-chalif-cascade-chain-yellow-gold,0,pearl-accessories-chalif-cascade-chain-yellow-gold
C00E40YKQ07,Other,Earrings,980,980,0,pearl-earrings-keshi-pearl-studs-7mm,0,pearl-earrings-keshi-pearl-studs-7mm
C00E44WPR11,Other,Earrings,5980,5980,0,pearl-earrings-grace-earrings-white-gold,0,pearl-earrings-grace-earrings-white-gold
C00E44YPR11,Other,Earrings,5980,5980,0,pearl-earrings-grace-earrings-yellow-gold,0,pearl-earrings-grace-earrings-yellow-gold
C00P04WPS13,Other,Necklaces And Pendants,2980,3280,10.07,pearl-necklaces-bella-pendant-white-gold,10.07,pearl-necklaces-bella-pendant-white-gold
C00P05WPC11,Other,Necklaces And Pendants,780,880,12.82,pearl-necklaces-circle-bella-petite-pendant-white-gold,12.82,pearl-necklaces-circle-bella-petite-pendant-white-gold
C00P05YPC11,Other,Necklaces And Pendants,780,880,12.82,pearl-necklaces-circle-bella-petite-pendant-yellow-gold,12.82,pearl-necklaces-circle-bella-petite-pendant-yellow-gold
C00P05YPO11,Other,Necklaces And Pendants,1580,1780,12.66,pearl-necklaces-oval-bella-petite-pendant-yellow-gold,12.66,pearl-necklaces-oval-bella-petite-pendant-yellow-gold
C00P28WPR12,Other,Necklaces And Pendants,4580,4780,4.37,pearl-necklaces-grace-pendant-white-gold,4.37,pearl-necklaces-grace-pendant-white-gold
C00P28YPR12,Other,Necklaces And Pendants,4580,4780,4.37,pearl-necklaces-grace-pendant-yellow-gold,4.37,pearl-necklaces-grace-pendant-yellow-gold
C00P28YPR14,Other,Necklaces And Pendants,5480,5780,5.47,pearl-necklaces-large-grace-pendant-yellow-gold,5.47,pearl-necklaces-large-grace-pendant-yellow-gold
C00R12YKQ10,Other,Rings,3780,3980,5.29,pearl-rings-embrace-the-sea-ring-yellow-gold,5.29,pearl-rings-embrace-the-sea-ring-yellow-gold
