link,text,category,product
https://www.paspaley.com/jewellery/pearl-accessories/thin-leather-cascade-taupe,Thin Leather Cascade - Taupe,accessories,thin-leather-cascade-taupe
https://www.paspaley.com/jewellery/pearl-accessories/thin-leather-cascade-brown,Thin Leather Cascade - Brown,accessories,thin-leather-cascade-brown
https://www.paspaley.com/jewellery/pearl-accessories/thin-leather-cascade-blue,Thin Leather Cascade - Blue,accessories,thin-leather-cascade-blue
https://www.paspaley.com/jewellery/pearl-accessories/omega-chain-white-gold,Omega Chain - White Gold,accessories,omega-chain-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/pearl-cufflinks-white-gold,Pearl Cufflinks - White Gold,accessories,pearl-cufflinks-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/omega-chain-yellow-gold,Omega Chain - Yellow Gold,accessories,omega-chain-yellow-gold
https://www.paspaley.com/jewellery/pearl-accessories/long-trace-chain-white-gold,Long Trace Chain - White Gold,accessories,long-trace-chain-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/fine-mirror-trace-chain-rose-gold,Fine Mirror Trace Chain - Rose Gold,accessories,fine-mirror-trace-chain-rose-gold
https://www.paspaley.com/jewellery/pearl-accessories/fine-mirror-trace-chain-yellow-gold,Fine Mirror Trace Chain - Yellow Gold,accessories,fine-mirror-trace-chain-yellow-gold
https://www.paspaley.com/jewellery/pearl-accessories/nitrile-bayonet-clasp-white-gold,Nitrile Bayonet Clasp - White Gold,accessories,nitrile-bayonet-clasp-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/nitrile-bayonet-clasp-yellow-gold,Nitrile Bayonet Clasp - Yellow Gold,accessories,nitrile-bayonet-clasp-yellow-gold
https://www.paspaley.com/jewellery/pearl-accessories/fine-key-end-nitrile-yellow-gold,Fine Key End Nitrile - Yellow Gold,accessories,fine-key-end-nitrile-yellow-gold
https://www.paspaley.com/jewellery/pearl-accessories/fine-key-end-nitrile-white-gold,Fine Key End Nitrile - White Gold,accessories,fine-key-end-nitrile-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold,accessories,chalif-cascade-chain-yellow-gold
https://www.paspaley.com/jewellery/pearl-accessories/black-spinel-cascade-white-gold,Black Spinel Cascade - White Gold,accessories,black-spinel-cascade-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/fine-mirror-trace-chain-white-gold,Fine Mirror Trace Chain - White Gold,accessories,fine-mirror-trace-chain-white-gold
https://www.paspaley.com/jewellery/pearl-accessories/paspaley-mother-of-pearl-shell,Paspaley Mother-of-Pearl shell,accessories,paspaley-mother-of-pearl-shell
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-rockfall-bracelet-yellow-gold,MEGISTI ROCKFALL BRACELET - YELLOW GOLD,bracelets,megisti-rockfall-bracelet-yellow-gold
