link,text,collection,product,year
https://www.paspaley.com/pearl-collections/pearls-my-way/starry-night-earrings-white-gold,Starry Night Earrings - White Gold,bespoke.htm,starry-night-earrings-white-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/starry-night-earrings-yellow-gold,Starry Night Earrings - Yellow Gold,bespoke.htm,starry-night-earrings-yellow-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-sapphire-earrings-yellow-gold,Touchstone Sapphire Earrings - Yellow Gold,bespoke.htm,touchstone-sapphire-earrings-yellow-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-sapphire-earrings-white-gold,Touchstone Sapphire Earrings - White Gold,bespoke.htm,touchstone-sapphire-earrings-white-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/touchstone-ruby-12mm-round-pendant-yellow-gold,Touchstone Ruby 12mm Round Pendant - Yellow Gold,bespoke.htm,touchstone-ruby-12mm-round-pendant-yellow-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-pendant-13mm-oval--yellow-gold,Diamond Touchstone Pendant 13mm Oval  - Yellow Gold,bespoke.htm,diamond-touchstone-pendant-13mm-oval--yellow-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-pave-pendant-14mm-round-white-gold,Pearls My Way Pave Pendant 14mm Round - White Gold,bespoke.htm,pearls-my-way-pave-pendant-14mm-round-white-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-earrings-12mm-oval--yellow-gold,Diamond Touchstone Earrings 12mm Oval  - Yellow Gold,bespoke.htm,diamond-touchstone-earrings-12mm-oval--yellow-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/diamond-touchstone-earrings-14mm-baroque--white-gold,Diamond Touchstone Earrings 14mm Baroque  - White Gold,bespoke.htm,diamond-touchstone-earrings-14mm-baroque--white-gold,2020
https://www.paspaley.com/pearl-collections/pearls-my-way/pearls-my-way-pave-earrings-13mm-round-white-gold,Pearls My Way Pave Earrings 13mm Round - White Gold,bespoke.htm,pearls-my-way-pave-earrings-13mm-round-white-gold,2020
