product_link,product_name
https://www.paspaley.com/jewellery/round-pearl-swap-yellow-gold,Round Pearl Swap - Yellow Gold
https://www.paspaley.com/pearl-collections/touchstone-ruby-clasp-yellow-gold,Touchstone Ruby Clasp - Yellow Gold
https://www.paspaley.com/pearl-collections/touchstone-black-diamond-clasp-white-gold,Touchstone Black Diamond Clasp - White Gold
https://www.paspaley.com/pearl-collections/touchstone-diamond-clasp-yellow-gold,Touchstone Diamond Clasp - Yellow Gold
https://www.paspaley.com/pearl-collections/maxima-clasp-yellow-gold,Maxima Clasp - Yellow Gold
https://www.paspaley.com/pearl-collections/maxima-clasp-white-gold,Maxima Clasp - White Gold
https://www.paspaley.com/jewellery/rockpool-pave-clasp-white-gold,Rockpool Pave Clasp - White Gold
https://www.paspaley.com/jewellery/rockpool-pave-clasp-yellow-gold,Rockpool Pave Clasp - Yellow Gold
https://www.paspaley.com/jewellery/rockpool-mother-of-pearl-clasp-white-gold,Rockpool Mother-of-Pearl Clasp - White Gold
https://www.paspaley.com/jewellery/rockpool-mother-of-pearl-clasp-yellow-gold,Rockpool Mother-of-Pearl Clasp - Yellow Gold
https://www.paspaley.com/pearl-collections/paspaley-mother-of-pearl-shell,Paspaley Mother-of-Pearl shell
https://www.paspaley.com/pearl-collections/pearl-cufflinks-white-gold,Pearl Cufflinks - White Gold
https://www.paspaley.com/pearl-collections/chalif-cascade-chain-yellow-gold,Chalif Cascade Chain - Yellow Gold
https://www.paspaley.com/pearl-collections/keshi-pearl-studs-7mm,Keshi Pearl Studs - 7mm
https://www.paspaley.com/pearl-collections/grace-earrings-white-gold,Grace Earrings - White Gold
https://www.paspaley.com/pearl-collections/grace-earrings-yellow-gold,Grace Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/grace-pendant-white-gold,Grace Pendant - White Gold
https://www.paspaley.com/pearl-collections/grace-pendant-yellow-gold,Grace Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/large-grace-pendant-yellow-gold,Large Grace Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/long-trace-chain-white-gold,Long Trace Chain - White Gold
https://www.paspaley.com/jewellery/kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circle Pearl
https://www.paspaley.com/jewellery/kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl
https://www.paspaley.com/jewellery/lavalier-circlé-white-gold,Lavalier Circlé - White Gold
https://www.paspaley.com/jewellery/lavalier-circlé-yellow-gold,Lavalier Circlé - Yellow Gold
https://www.paspaley.com/jewellery/lavalier-earrings-circlé-white-gold,Lavalier Earrings Circlé - White Gold
https://www.paspaley.com/jewellery/lavalier-earrings-circlé-yellow-gold,Lavalier Earrings Circlé - Yellow Gold
https://www.paspaley.com/jewellery/lavalier-petite-circlé-white-gold,Lavalier Petite Circlé - White Gold
https://www.paspaley.com/jewellery/lavalier-petite-circlé-yellow-gold,Lavalier Petite Circlé - Yellow Gold
https://www.paspaley.com/jewellery/lavalier-opal-hero-rose-gold,Lavalier Opal Hero - Rose Gold
